2023-12-11 21:36:29,229| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 21:36:29,259| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 21:36:29,259| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 21:36:29,259| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:18,098| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 22:01:18,102| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 22:01:18,125| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/extendSession| 200 
2023-12-11 22:01:18,170| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/activeAdministrators| 200 
2023-12-11 22:01:18,173| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/licenseExpiryStatus| 200 
2023-12-11 22:01:18,176| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/uiSettings| 200 
2023-12-11 22:01:18,176| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:18,176| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:18,178| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:18,224| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:18,226| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:18,233| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:19,083| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/extendSession| 200 
2023-12-11 22:01:19,180| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:19,180| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:19,183| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:20,854| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:20,855| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:20,866| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:20,920| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:20,920| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:20,921| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:20,936| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:20,937| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:20,937| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:20,948| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:20,950| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:20,951| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:24,732| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:24,733| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:24,733| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:24,769| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:24,770| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:24,771| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
2023-12-11 22:01:24,786| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/internalDbWarnings| 200 
2023-12-11 22:01:24,787| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/replicationInfo| 200 
2023-12-11 22:01:24,788| pingFederateAdmin| Bearer| 10.0.0.3| unknown| GET| /internal/notifications| 200 
